,npi,nppes_provider_city,Recipient_State,Submitting_Applicable_Manufacturer_or_Applicable_GPO_Name,drug_name,Total_Amount_of_Payment_USDollars,Unnamed: 0,bene_count,total_claim_count,total_day_supply,total_drug_cost,claim_scaled_supply,RevPerPill,SMPerPill,ProfPerPill
6494,1356309041.0,PACIFIC GROVE,CA,BRISTOL-MYERS SQUIBB COMPANY,BYDUREON,33.5,8302877,0.0,20,835,10874.93,41.75,13.023868263473053,0.040119760479041915,12.983748502994011
6529,1356312151.0,SAYRE,PA,MERCK SHARP & DOHME CORPORATION,JANUVIA,10.51,8309966,38.0,178,7706,64601.47,43.29213483146068,8.383268881391125,0.0013638723072930184,8.381905009083832
6623,1356312151.0,SAYRE,PA,"JANSSEN PHARMACEUTICALS, INC",INVOKANA,6445.940000000001,8309964,0.0,22,840,7462.5,38.18181818181818,8.883928571428571,7.673738095238097,1.2101904761904745
6717,1356328884.0,CHICAGO,IL,ELI LILLY AND COMPANY,HUMALOG,30.42,8337099,0.0,25,1225,9877.47,49.0,8.06324081632653,0.02483265306122449,8.038408163265306
6762,1356330310.0,MAYAGUEZ,PR,"BOEHRINGER INGELHEIM PHARMACEUTICALS, INC.",TRADJENTA,18.02,8338495,17.0,44,1560,13817.88,35.45454545454545,8.857615384615384,0.011551282051282051,8.846064102564101
6763,1356330310.0,MAYAGUEZ,PR,ELI LILLY AND COMPANY,TRADJENTA,86.43,8338495,17.0,44,1560,13817.88,35.45454545454545,8.857615384615384,0.05540384615384616,8.802211538461538
7056,1356330310.0,MAYAGUEZ,PR,ELI LILLY AND COMPANY,CIALIS,37.63,8338387,0.0,11,330,1600.83,30.0,4.851,0.11403030303030304,4.736969696969697
7203,1356330310.0,MAYAGUEZ,PR,MERCK SHARP & DOHME CORPORATION,JANUMET,5.74,8338441,24.0,98,3300,27930.26,33.673469387755105,8.463715151515151,0.0017393939393939395,8.461975757575757
7350,1356330310.0,MAYAGUEZ,PR,MERCK SHARP & DOHME CORPORATION,JANUVIA,67.31,8338443,32.0,123,4410,38811.34,35.85365853658537,8.800757369614512,0.015263038548752834,8.78549433106576
7497,1356330310.0,MAYAGUEZ,PR,MERCK SHARP & DOHME CORPORATION,ZETIA,70.96,8338506,22.0,72,2160,11751.2,30.0,5.4403703703703705,0.03285185185185185,5.407518518518518
7644,1356342406.0,HOUSTON,TX,"ABBVIE, INC.",ANDROGEL,9.14,8361494,13.0,55,2358,28964.79,42.87272727272728,12.283625954198474,0.0038761662425784564,12.279749787955895
7708,1356342406.0,HOUSTON,TX,"ABBVIE, INC.",SYNTHROID,4725.8899999999985,8361547,126.0,510,22914,22645.4,44.92941176470589,0.9882779087021036,0.20624465392336555,0.7820332547787381
7772,1356342406.0,HOUSTON,TX,BRISTOL-MYERS SQUIBB COMPANY,BYDUREON,1753.5500000000006,8361497,0.0,31,924,12403.19,29.806451612903228,13.4233658008658,1.897781385281386,11.525584415584415
7836,1356342406.0,HOUSTON,TX,DAIICHI SANKYO INC.,WELCHOL,74.24000000000002,8361554,0.0,13,435,3966.28,33.46153846153846,9.117885057471264,0.17066666666666672,8.947218390804597
7900,1356342406.0,HOUSTON,TX,ELI LILLY AND COMPANY,HUMALOG,9.54,8361512,14.0,38,2107,29032.16,55.44736842105264,13.77890840056953,0.004527764594209776,13.774380635975321
7964,1356342406.0,HOUSTON,TX,"JANSSEN PHARMACEUTICALS, INC",INVOKANA,10006.28,8361517,0.0,22,900,7915.23,40.90909090909091,8.794699999999999,11.11808888888889,-2.323388888888891
8028,1356342406.0,HOUSTON,TX,MERCK SHARP & DOHME CORPORATION,JANUVIA,39.21,8361519,11.0,46,1860,15671.34,40.43478260869565,8.425451612903226,0.021080645161290323,8.404370967741935
8092,1356342406.0,HOUSTON,TX,NOVO NORDISK INC,NOVOLOG,1.5,8361536,0.0,17,1170,16568.99,68.82352941176471,14.161529914529916,0.001282051282051282,14.160247863247864
8156,1356349880.0,WINTER HAVEN,FL,"ABBVIE, INC.",ANDROGEL,15.78,8374798,16.0,71,2545,40852.6,35.84507042253521,16.052102161100194,0.006200392927308448,16.045901768172886
8239,1356349880.0,WINTER HAVEN,FL,BRISTOL-MYERS SQUIBB COMPANY,ONGLYZA,39.45,8374857,0.0,53,1980,16489.53,37.35849056603774,8.328045454545453,0.019924242424242424,8.308121212121211
8322,1356349880.0,WINTER HAVEN,FL,DAIICHI SANKYO INC.,WELCHOL,11.29,8374872,0.0,11,330,3380.5,30.0,10.243939393939394,0.03421212121212121,10.209727272727273
8405,1356349880.0,WINTER HAVEN,FL,ELI LILLY AND COMPANY,HUMALOG,30.29,8374821,66.0,214,9737,95577.08,45.5,9.815865256239087,0.003110814419225634,9.812754441819862
8488,1356349880.0,WINTER HAVEN,FL,NOVO NORDISK INC,LEVEMIR,27.58,8374834,27.0,93,4557,34709.77,49.0,7.616802721088435,0.006052227342549923,7.610750493745885
8571,1356349880.0,WINTER HAVEN,FL,NOVO NORDISK INC,NOVOLOG,14.99,8374852,69.0,256,11280,107778.12,44.0625,9.554797872340425,0.0013289007092198582,9.553468971631204
8654,1356386965.0,GREENWICH,CT,WARNER CHILCOTT LLC,ATELVIA,91.21,8415766,0.0,37,1254,6294.47,33.89189189189189,5.01951355661882,0.07273524720893142,4.946778309409889
8744,1356403489.0,LEXINGTON,KY,"ABBVIE, INC.",ANDROGEL,24.33,8435577,0.0,50,2087,38166.06,41.74,18.2875227599425,0.011657882127455678,18.275864877815046
8868,1356403489.0,LEXINGTON,KY,"BOEHRINGER INGELHEIM PHARMACEUTICALS, INC.",TRADJENTA,22.05,8435680,0.0,31,1290,10635.55,41.61290322580645,8.244612403100774,0.017093023255813956,8.22751937984496
8992,1356403489.0,LEXINGTON,KY,BRISTOL-MYERS SQUIBB COMPANY,BYDUREON,1788.01,8435584,12.0,54,1876,25377.06,34.74074074074074,13.52721748400853,0.9530970149253731,12.574120469083157
9116,1356403489.0,LEXINGTON,KY,BRISTOL-MYERS SQUIBB COMPANY,ONGLYZA,12.85,8435664,13.0,44,1560,13120.14,35.45454545454545,8.410346153846154,0.008237179487179487,8.402108974358974
9240,1356403489.0,LEXINGTON,KY,DAIICHI SANKYO INC.,BENICAR,11.1,8435581,0.0,14,600,2478.0,42.857142857142854,4.13,0.0185,4.1114999999999995
9364,1356403489.0,LEXINGTON,KY,ELI LILLY AND COMPANY,HUMALOG,15.41,8435617,45.0,199,7718,93974.72,38.78391959798996,12.176045607670382,0.0019966312516195906,12.174048976418762
9488,1356403489.0,LEXINGTON,KY,"LIFESCAN, INC.",INVOKANA,24.19,8435627,14.0,29,990,8714.94,34.13793103448276,8.802969696969697,0.024434343434343437,8.778535353535354
9612,1356403489.0,LEXINGTON,KY,NOVO NORDISK INC,LEVEMIR,15.35,8435635,0.0,47,2299,36526.13,48.914893617021285,15.887833840800347,0.006676816006959548,15.881157024793387
9736,1356403489.0,LEXINGTON,KY,SANOFI AND GENZYME US COMPANIES,LANTUS,14.01,8435633,51.0,187,8001,85631.29,42.786096256684495,10.70257342832146,0.0017510311211098612,10.70082239720035
9860,1356403489.0,LEXINGTON,KY,"SANTARUS, INC",CYCLOSET,3100.0,8435594,0.0,53,2250,25968.97,42.45283018867924,11.541764444444444,1.3777777777777778,10.163986666666666
9984,1356423875.0,NEW YORK,NY,SANOFI AND GENZYME US COMPANIES,LANTUS,14.44,8446305,0.0,41,2025,20714.02,49.39024390243903,10.229145679012346,0.007130864197530864,10.222014814814814
10023,1356423875.0,NEW YORK,NY,MERCK SHARP & DOHME CORPORATION,JANUVIA,11028.63,8446304,0.0,20,1200,9186.99,60.0,7.655825,9.190525,-1.534699999999999
10062,1356436406.0,SPRINGFIELD,MO,"AUXILIUM PHARMACEUTICALS, INC.",TESTIM,58.58,8455273,0.0,11,330,4005.76,30.0,12.138666666666667,0.17751515151515151,11.961151515151515
10156,1356436406.0,SPRINGFIELD,MO,DAIICHI SANKYO INC.,WELCHOL,12.78,8455284,0.0,11,570,5559.47,51.81818181818182,9.753456140350877,0.022421052631578946,9.731035087719299
10250,1356436406.0,SPRINGFIELD,MO,ELI LILLY AND COMPANY,HUMALOG,37.73,8455225,52.0,207,7795,84913.02,37.657004830917884,10.893267479153304,0.004840282232200128,10.888427196921104
10344,1356436406.0,SPRINGFIELD,MO,MERCK SHARP & DOHME CORPORATION,VYTORIN,99.0,8455283,0.0,30,2280,11211.42,76.0,4.91728947368421,0.04342105263157895,4.873868421052632
10438,1356444681.0,HOUSTON,TX,"ABBVIE, INC.",ANDROGEL,14.3,8461986,0.0,18,600,7137.93,33.333333333333336,11.896550000000001,0.023833333333333335,11.872716666666667
10585,1356444681.0,HOUSTON,TX,"ABBVIE, INC.",SYNTHROID,17.75,8462102,81.0,292,17346,12970.2,59.4041095890411,0.7477343479764788,0.001023290672201084,0.7467110573042777
10732,1356444681.0,HOUSTON,TX,AMGEN INC.,PROLIA,119.64,8462097,15.0,20,1634,16699.46,81.7,10.219987760097919,0.07321909424724603,10.146768665850672
10879,1356444681.0,HOUSTON,TX,"BOEHRINGER INGELHEIM PHARMACEUTICALS, INC.",TRADJENTA,21.34,8462107,11.0,42,1680,13721.12,40.0,8.167333333333334,0.012702380952380953,8.154630952380952
11026,1356444681.0,HOUSTON,TX,BRISTOL-MYERS SQUIBB COMPANY,BYDUREON,26.54,8462001,0.0,31,1334,16748.35,43.032258064516135,12.554985007496251,0.01989505247376312,12.535089955022487
11173,1356444681.0,HOUSTON,TX,MERCK SHARP & DOHME CORPORATION,JANUVIA,25.04,8462052,13.0,60,2670,22382.72,44.5,8.383041198501873,0.009378277153558053,8.373662921348314
11320,1356444681.0,HOUSTON,TX,NOVO NORDISK INC,LEVEMIR,17.03,8462059,0.0,29,1509,13867.03,52.03448275862069,9.189549370444004,0.011285619615639498,9.178263750828364
11467,1356444681.0,HOUSTON,TX,NOVO NORDISK INC,NOVOLOG,39.81,8462088,26.0,88,3775,55394.06,42.89772727272727,14.673923178807946,0.010545695364238411,14.663377483443709
11614,1356444681.0,HOUSTON,TX,SANOFI AND GENZYME US COMPANIES,APIDRA,14.04,8461987,0.0,12,598,4429.9,49.83333333333334,7.407859531772575,0.023478260869565216,7.38438127090301
11761,1356444681.0,HOUSTON,TX,SANOFI AND GENZYME US COMPANIES,LANTUS,87.28999999999998,8462056,30.0,85,4645,28854.68,54.647058823529406,6.211987082884822,0.01879224973089343,6.193194833153929
11908,1356444681.0,HOUSTON,TX,"TAKEDA PHARMACEUTICALS U.S.A., INC.",DEXILANT,15.38,8462018,0.0,33,995,5216.53,30.15151515151515,5.242743718592965,0.015457286432160804,5.2272864321608035
12055,1356444681.0,HOUSTON,TX,WARNER CHILCOTT LLC,ATELVIA,41.1,8461990,23.0,62,2716,13067.89,43.806451612903224,4.811446980854197,0.015132547864506627,4.79631443298969
12202,1356460547.0,OMAHA,NE,"BOEHRINGER INGELHEIM PHARMACEUTICALS, INC.",TRADJENTA,11.11,8474006,0.0,27,840,7128.79,31.11111111111111,8.486654761904761,0.013226190476190475,8.47342857142857
